,GOOG_predicted
0,1747.0
1,1758.0
2,1755.0
3,1742.0
4,1723.0
5,1703.0
6,1689.0
7,1681.0
8,1682.0
9,1688.0
10,1698.0
11,1704.0
12,1704.0
13,1697.0
14,1686.0
15,1673.0
16,1663.0
17,1657.0
18,1658.0
19,1664.0
20,1677.0
21,1697.0
22,1721.0
23,1748.0
24,1770.0
25,1781.0
26,1779.0
27,1767.0
28,1751.0
29,1733.0
30,1715.0
31,1697.0
32,1680.0
33,1667.0
34,1660.0
35,1662.0
36,1674.0
37,1693.0
38,1718.0
39,1744.0
40,1767.0
41,1781.0
42,1790.0
43,1793.0
44,1790.0
45,1783.0
46,1774.0
47,1761.0
48,1744.0
49,1725.0
50,1713.0
51,1707.0
52,1711.0
53,1720.0
54,1731.0
55,1743.0
56,1756.0
57,1772.0
58,1789.0
59,1804.0
60,1814.0
61,1815.0
62,1808.0
63,1797.0
64,1784.0
65,1771.0
66,1766.0
67,1765.0
68,1766.0
69,1766.0
70,1764.0
71,1763.0
72,1766.0
73,1778.0
74,1796.0
75,1815.0
76,1834.0
77,1852.0
78,1871.0
79,1887.0
80,1897.0
81,1902.0
82,1905.0
83,1908.0
84,1911.0
85,1913.0
86,1913.0
87,1914.0
88,1921.0
89,1930.0
90,1935.0
91,1933.0
92,1930.0
93,1932.0
94,1943.0
95,1964.0
96,1986.0
97,2001.0
98,2002.0
99,1990.0
100,1968.0
101,1949.0
102,1938.0
103,1933.0
104,1933.0
105,1931.0
106,1928.0
107,1927.0
108,1933.0
109,1947.0
110,1966.0
111,1978.0
112,1980.0
113,1979.0
114,1978.0
115,1976.0
116,1973.0
117,1971.0
118,1967.0
119,1959.0
120,1951.0
121,1951.0
122,1964.0
123,1986.0
124,2012.0
125,2031.0
126,2036.0
127,2021.0
128,1991.0
129,1957.0
130,1933.0
131,1928.0
132,1941.0
133,1965.0
134,1987.0
135,2002.0
136,2005.0
137,2001.0
138,2000.0
139,2008.0
140,2029.0
141,2062.0
142,2094.0
143,2121.0
144,2141.0
145,2160.0
146,2178.0
147,2193.0
148,2211.0
149,2233.0
150,2256.0
151,2270.0
152,2274.0
153,2270.0
154,2264.0
155,2263.0
156,2275.0
157,2294.0
158,2317.0
159,2335.0
160,2349.0
161,2354.0
162,2353.0
163,2356.0
164,2360.0
165,2367.0
166,2370.0
167,2371.0
168,2368.0
169,2364.0
170,2358.0
171,2349.0
172,2342.0
173,2343.0
174,2355.0
175,2373.0
176,2393.0
177,2409.0
178,2422.0
179,2428.0
180,2421.0
181,2407.0
182,2395.0
183,2396.0
184,2406.0
185,2425.0
186,2450.0
187,2473.0
188,2484.0
189,2477.0
190,2460.0
191,2444.0
192,2445.0
193,2470.0
194,2510.0
195,2546.0
196,2561.0
197,2553.0
198,2530.0
199,2502.0
200,2480.0
201,2475.0
202,2485.0
203,2506.0
204,2532.0
205,2562.0
206,2595.0
207,2631.0
208,2662.0
209,2688.0
210,2705.0
211,2709.0
212,2707.0
213,2713.0
214,2736.0
215,2771.0
216,2811.0
217,2850.0
218,2887.0
219,2916.0
220,2936.0
221,2953.0
222,2972.0
223,2998.0
224,3023.0
225,3044.0
226,3054.0
227,3046.0
228,3023.0
229,2989.0
230,2955.0
231,2938.0
232,2938.0
233,2945.0
234,2954.0
235,2956.0
236,2947.0
237,2922.0
238,2883.0
239,2833.0
240,2786.0
241,2758.0
242,2759.0
243,2781.0
244,2815.0
245,2853.0
246,2890.0
247,2926.0
248,2964.0
249,2995.0
250,3017.0
251,3027.0
252,3025.0
253,3019.0
254,3019.0
255,3027.0
256,3044.0
257,3069.0
258,3103.0
259,3137.0
260,3167.0
261,3186.0
262,3188.0
263,3168.0
264,3140.0
265,3111.0
266,3084.0
267,3057.0
268,3036.0
269,3017.0
270,2995.0
271,2971.0
272,2954.0
273,2953.0
274,2962.0
275,2969.0
276,2963.0
277,2947.0
278,2931.0
279,2920.0
280,2912.0
281,2908.0
282,2904.0
283,2893.0
284,2871.0
285,2846.0
286,2820.0
287,2802.0
288,2791.0
289,2778.0
290,2755.0
291,2725.0
292,2700.0
293,2689.0
294,2691.0
295,2695.0
296,2689.0
297,2665.0
298,2633.0
299,2606.0
300,2596.0
301,2600.0
302,2607.0
303,2610.0
