,GOOG_predicted
0,1495.0
1,1481.0
2,1468.0
3,1452.0
4,1441.0
5,1432.0
6,1433.0
7,1442.0
8,1455.0
9,1470.0
10,1484.0
11,1498.0
12,1506.0
13,1508.0
14,1504.0
15,1492.0
16,1473.0
17,1448.0
18,1425.0
19,1408.0
20,1398.0
21,1392.0
22,1394.0
23,1400.0
24,1407.0
25,1415.0
26,1421.0
27,1427.0
28,1428.0
29,1424.0
30,1414.0
31,1396.0
32,1379.0
33,1366.0
34,1353.0
35,1345.0
36,1339.0
37,1331.0
38,1325.0
39,1325.0
40,1330.0
41,1342.0
42,1352.0
43,1360.0
44,1363.0
45,1366.0
46,1370.0
47,1371.0
48,1368.0
49,1362.0
50,1354.0
51,1347.0
52,1343.0
53,1339.0
54,1335.0
55,1329.0
56,1320.0
57,1314.0
58,1313.0
59,1315.0
60,1321.0
61,1324.0
62,1328.0
63,1332.0
64,1333.0
65,1334.0
66,1332.0
67,1328.0
68,1321.0
69,1311.0
70,1302.0
71,1293.0
72,1279.0
73,1270.0
74,1265.0
75,1262.0
76,1264.0
77,1266.0
78,1271.0
79,1279.0
80,1287.0
81,1296.0
82,1304.0
83,1314.0
84,1328.0
85,1344.0
86,1361.0
87,1380.0
88,1392.0
89,1404.0
90,1413.0
91,1416.0
92,1414.0
93,1410.0
94,1402.0
95,1394.0
96,1391.0
97,1392.0
98,1397.0
99,1400.0
100,1407.0
101,1419.0
102,1430.0
103,1441.0
104,1456.0
105,1473.0
106,1491.0
107,1516.0
108,1540.0
109,1570.0
110,1600.0
111,1629.0
112,1662.0
113,1692.0
114,1718.0
115,1739.0
116,1757.0
117,1777.0
118,1799.0
119,1821.0
120,1840.0
121,1854.0
122,1868.0
123,1875.0
124,1882.0
125,1884.0
126,1878.0
127,1864.0
128,1842.0
129,1819.0
130,1796.0
131,1771.0
132,1739.0
133,1708.0
134,1675.0
135,1639.0
136,1609.0
137,1583.0
138,1562.0
139,1547.0
140,1541.0
141,1540.0
142,1547.0
143,1561.0
144,1578.0
145,1593.0
146,1605.0
147,1621.0
148,1637.0
149,1650.0
150,1660.0
151,1672.0
152,1680.0
153,1687.0
154,1703.0
155,1721.0
156,1740.0
157,1756.0
158,1767.0
159,1779.0
160,1783.0
161,1783.0
162,1776.0
163,1765.0
164,1751.0
165,1735.0
166,1725.0
167,1721.0
168,1714.0
169,1713.0
170,1719.0
171,1733.0
172,1751.0
173,1768.0
174,1786.0
175,1799.0
176,1812.0
177,1817.0
178,1819.0
179,1814.0
180,1802.0
181,1786.0
182,1770.0
183,1761.0
184,1756.0
185,1750.0
186,1750.0
187,1753.0
188,1758.0
189,1760.0
190,1769.0
191,1776.0
192,1778.0
193,1784.0
194,1785.0
195,1783.0
196,1786.0
197,1788.0
198,1795.0
199,1802.0
200,1809.0
201,1826.0
202,1852.0
203,1882.0
204,1920.0
205,1960.0
206,2002.0
207,2051.0
208,2100.0
209,2149.0
210,2199.0
211,2249.0
212,2294.0
213,2332.0
214,2360.0
215,2382.0
216,2400.0
217,2415.0
218,2425.0
219,2429.0
220,2425.0
221,2415.0
222,2406.0
223,2402.0
224,2399.0
225,2401.0
226,2408.0
227,2425.0
228,2442.0
229,2467.0
230,2496.0
231,2531.0
232,2566.0
233,2598.0
234,2628.0
235,2655.0
236,2679.0
237,2705.0
238,2727.0
239,2748.0
240,2766.0
241,2778.0
242,2781.0
243,2786.0
244,2788.0
245,2792.0
246,2802.0
247,2814.0
248,2830.0
249,2851.0
250,2882.0
251,2916.0
252,2948.0
253,2972.0
254,2988.0
255,3001.0
256,3007.0
257,3011.0
258,3008.0
259,2999.0
260,2981.0
261,2965.0
262,2948.0
263,2928.0
264,2913.0
265,2896.0
266,2885.0
267,2875.0
268,2871.0
269,2873.0
270,2882.0
271,2892.0
272,2906.0
273,2918.0
274,2930.0
275,2938.0
276,2952.0
277,2961.0
278,2970.0
279,2971.0
280,2962.0
281,2944.0
282,2925.0
283,2906.0
284,2884.0
285,2863.0
286,2845.0
287,2838.0
288,2839.0
