,GOOG_predicted
0,1561.0
1,1575.0
2,1555.0
3,1541.0
4,1532.0
5,1553.0
6,1573.0
7,1588.0
8,1570.0
9,1577.0
10,1563.0
11,1566.0
12,1530.0
13,1501.0
14,1483.0
15,1497.0
16,1504.0
17,1473.0
18,1448.0
19,1426.0
20,1411.0
21,1411.0
22,1440.0
23,1456.0
24,1447.0
25,1462.0
26,1442.0
27,1422.0
28,1399.0
29,1391.0
30,1406.0
31,1397.0
32,1417.0
33,1444.0
34,1472.0
35,1500.0
36,1505.0
37,1473.0
38,1445.0
39,1448.0
40,1476.0
41,1484.0
42,1455.0
43,1441.0
44,1461.0
45,1467.0
46,1451.0
47,1432.0
48,1417.0
49,1441.0
50,1468.0
51,1495.0
52,1499.0
53,1466.0
54,1448.0
55,1462.0
56,1436.0
57,1406.0
58,1395.0
59,1423.0
60,1454.0
61,1477.0
62,1498.0
63,1509.0
64,1491.0
65,1511.0
66,1533.0
67,1550.0
68,1560.0
69,1529.0
70,1504.0
71,1493.0
72,1514.0
73,1518.0
74,1505.0
75,1514.0
76,1498.0
77,1500.0
78,1465.0
79,1442.0
80,1415.0
81,1395.0
82,1412.0
83,1402.0
84,1414.0
85,1395.0
86,1399.0
87,1364.0
88,1339.0
89,1336.0
90,1365.0
91,1395.0
92,1410.0
93,1429.0
94,1450.0
95,1471.0
96,1476.0
97,1452.0
98,1429.0
99,1400.0
100,1396.0
101,1426.0
102,1456.0
103,1474.0
104,1471.0
105,1504.0
106,1522.0
107,1538.0
108,1534.0
109,1544.0
110,1522.0
111,1511.0
112,1518.0
113,1497.0
114,1498.0
115,1463.0
116,1445.0
117,1470.0
118,1497.0
119,1516.0
120,1536.0
121,1545.0
122,1514.0
123,1497.0
124,1490.0
125,1506.0
126,1503.0
127,1518.0
128,1528.0
129,1519.0
130,1522.0
131,1506.0
132,1524.0
133,1542.0
134,1524.0
135,1514.0
136,1543.0
137,1565.0
138,1579.0
139,1546.0
140,1524.0
141,1498.0
142,1479.0
143,1459.0
144,1433.0
145,1425.0
146,1447.0
147,1474.0
148,1492.0
149,1508.0
150,1487.0
151,1500.0
152,1482.0
153,1485.0
154,1459.0
155,1441.0
156,1429.0
157,1448.0
158,1453.0
159,1433.0
160,1421.0
161,1456.0
162,1481.0
163,1496.0
164,1470.0
165,1462.0
166,1469.0
167,1456.0
168,1467.0
169,1456.0
170,1462.0
171,1437.0
172,1437.0
173,1401.0
174,1366.0
175,1338.0
176,1313.0
177,1311.0
178,1331.0
179,1325.0
180,1347.0
181,1379.0
182,1403.0
183,1406.0
184,1385.0
185,1367.0
186,1366.0
187,1338.0
188,1317.0
189,1313.0
190,1340.0
191,1371.0
192,1384.0
193,1351.0
194,1328.0
195,1304.0
196,1295.0
197,1315.0
198,1340.0
199,1351.0
200,1322.0
201,1311.0
202,1336.0
203,1339.0
204,1327.0
205,1347.0
206,1371.0
207,1375.0
208,1361.0
209,1354.0
210,1360.0
211,1349.0
212,1354.0
213,1330.0
214,1305.0
215,1274.0
216,1243.0
217,1220.0
218,1208.0
219,1193.0
220,1179.0
221,1159.0
222,1135.0
223,1116.0
224,1121.0
225,1104.0
226,1115.0
227,1101.0
228,1105.0
229,1096.0
230,1115.0
231,1122.0
232,1094.0
233,1068.0
234,1046.0
235,1043.0
236,1053.0
237,1037.0
238,1017.0
239,1001.0
240,988.0
241,976.0
242,968.0
243,987.0
244,1001.0
245,1013.0
246,1002.0
247,1012.0
248,1020.0
249,1019.0
250,1034.0
251,1052.0
252,1077.0
253,1089.0
254,1072.0
255,1054.0
256,1031.0
257,1023.0
258,1036.0
259,1053.0
260,1057.0
261,1042.0
262,1024.0
263,1012.0
264,1032.0
265,1049.0
266,1052.0
267,1044.0
268,1064.0
269,1074.0
270,1077.0
271,1055.0
272,1038.0
273,1027.0
274,1042.0
275,1055.0
276,1047.0
277,1058.0
278,1045.0
279,1057.0
280,1047.0
281,1050.0
282,1044.0
283,1062.0
284,1081.0
285,1093.0
286,1083.0
287,1086.0
288,1067.0
289,1063.0
290,1074.0
291,1063.0
292,1059.0
293,1070.0
294,1057.0
295,1065.0
