,Predicted_Price,Date
0,7778.55,2024-10-29
1,7849.848,2024-10-30
2,7763.3013,2024-10-31
3,7668.621,2024-11-01
4,7555.2524,2024-11-02
5,7470.7188,2024-11-03
6,7397.5186,2024-11-04
7,7461.7114,2024-11-05
8,7358.398,2024-11-06
9,7185.9214,2024-11-07
10,7038.688,2024-11-08
11,6885.328,2024-11-09
12,6796.9507,2024-11-10
13,6865.9077,2024-11-11
14,6873.2783,2024-11-12
15,6766.7993,2024-11-13
16,6692.2524,2024-11-14
17,6621.6313,2024-11-15
18,6606.0635,2024-11-16
19,6683.623,2024-11-17
20,6776.383,2024-11-18
21,6907.303,2024-11-19
22,6970.747,2024-11-20
23,6961.4834,2024-11-21
24,7061.086,2024-11-22
25,7111.2563,2024-11-23
26,7042.8955,2024-11-24
27,7070.486,2024-11-25
28,7013.424,2024-11-26
29,7168.9146,2024-11-27
30,7332.3066,2024-11-28
31,7419.916,2024-11-29
32,7308.1978,2024-11-30
33,7223.536,2024-12-01
34,7281.8525,2024-12-02
35,7289.7314,2024-12-03
36,7119.1206,2024-12-04
37,6966.441,2024-12-05
38,6822.4688,2024-12-06
39,6721.3867,2024-12-07
40,6667.6367,2024-12-08
41,6714.343,2024-12-09
42,6619.4136,2024-12-10
43,6580.8296,2024-12-11
44,6666.354,2024-12-12
45,6681.701,2024-12-13
46,6609.55,2024-12-14
47,6707.101,2024-12-15
48,6837.2515,2024-12-16
49,6885.846,2024-12-17
50,6811.8647,2024-12-18
51,6873.4287,2024-12-19
52,6820.2783,2024-12-20
53,6902.909,2024-12-21
54,6818.1987,2024-12-22
55,6756.4897,2024-12-23
56,6771.2104,2024-12-24
57,6714.2065,2024-12-25
58,6810.9785,2024-12-26
59,6905.8184,2024-12-27
60,6925.4453,2024-12-28
61,6869.0522,2024-12-29
62,6897.4736,2024-12-30
63,6781.8154,2024-12-31
64,6761.43,2025-01-01
65,6858.256,2025-01-02
66,6888.76,2025-01-03
67,6786.9995,2025-01-04
68,6698.5684,2025-01-05
69,6767.221,2025-01-06
70,6835.7715,2025-01-07
71,6786.9526,2025-01-08
72,6785.732,2025-01-09
73,6649.443,2025-01-10
74,6573.809,2025-01-11
75,6497.593,2025-01-12
76,6564.1694,2025-01-13
77,6503.217,2025-01-14
78,6483.308,2025-01-15
79,6584.2324,2025-01-16
80,6610.169,2025-01-17
81,6549.144,2025-01-18
82,6487.589,2025-01-19
83,6500.757,2025-01-20
84,6394.7397,2025-01-21
85,6356.0005,2025-01-22
86,6447.524,2025-01-23
87,6472.573,2025-01-24
88,6437.714,2025-01-25
89,6460.102,2025-01-26
90,6404.045,2025-01-27
91,6389.768,2025-01-28
92,6460.863,2025-01-29
93,6488.4443,2025-01-30
94,6413.9053,2025-01-31
95,6326.458,2025-02-01
96,6340.1304,2025-02-02
97,6263.1016,2025-02-03
98,6321.431,2025-02-04
99,6317.7524,2025-02-05
100,6423.7534,2025-02-06
101,6494.0757,2025-02-07
102,6466.6895,2025-02-08
103,6544.5737,2025-02-09
104,6459.1685,2025-02-10
105,6374.3706,2025-02-11
106,6361.7705,2025-02-12
107,6481.4814,2025-02-13
108,6567.8228,2025-02-14
109,6608.7656,2025-02-15
110,6577.559,2025-02-16
111,6643.051,2025-02-17
112,6614.286,2025-02-18
113,6696.5356,2025-02-19
114,6762.049,2025-02-20
115,6793.3364,2025-02-21
116,6726.9414,2025-02-22
117,6839.9214,2025-02-23
118,6909.8135,2025-02-24
119,6982.1865,2025-02-25
120,7074.172,2025-02-26
121,7165.6997,2025-02-27
122,7209.7417,2025-02-28
123,7174.282,2025-03-01
124,7245.8486,2025-03-02
125,7161.5083,2025-03-03
126,7252.6406,2025-03-04
127,7375.7734,2025-03-05
128,7515.7056,2025-03-06
129,7637.6655,2025-03-07
130,7744.8564,2025-03-08
131,7790.6855,2025-03-09
132,7705.431,2025-03-10
133,7651.811,2025-03-11
134,7763.843,2025-03-12
135,7848.0664,2025-03-13
136,7766.889,2025-03-14
137,7776.779,2025-03-15
138,7668.642,2025-03-16
139,7580.0244,2025-03-17
140,7514.343,2025-03-18
141,7469.228,2025-03-19
142,7522.7456,2025-03-20
143,7501.042,2025-03-21
144,7681.389,2025-03-22
145,7841.3667,2025-03-23
146,7949.7046,2025-03-24
147,7996.088,2025-03-25
148,7917.542,2025-03-26
149,7993.336,2025-03-27
150,7891.3643,2025-03-28
151,8022.564,2025-03-29
152,8208.775,2025-03-30
153,8332.866,2025-03-31
154,8284.473,2025-04-01
155,8303.687,2025-04-02
156,8192.161,2025-04-03
157,8252.954,2025-04-04
158,8218.449,2025-04-05
159,8315.285,2025-04-06
160,8211.195,2025-04-07
161,8117.879,2025-04-08
162,8087.326,2025-04-09
163,8134.0776,2025-04-10
164,8025.583,2025-04-11
165,7946.835,2025-04-12
166,8004.4077,2025-04-13
167,7823.6787,2025-04-14
168,7696.314,2025-04-15
169,7550.7124,2025-04-16
170,7479.0503,2025-04-17
171,7439.344,2025-04-18
172,7557.468,2025-04-19
173,7628.913,2025-04-20
174,7672.8804,2025-04-21
175,7659.888,2025-04-22
176,7828.2183,2025-04-23
177,7969.253,2025-04-24
178,8055.679,2025-04-25
179,7927.161,2025-04-26
180,7901.0117,2025-04-27
181,7978.8145,2025-04-28
182,7994.2427,2025-04-29
183,7913.4126,2025-04-30
184,8025.0234,2025-05-01
185,8110.438,2025-05-02
186,7992.2007,2025-05-03
187,8038.242,2025-05-04
188,7972.6045,2025-05-05
189,8128.369,2025-05-06
190,8223.267,2025-05-07
191,8146.004,2025-05-08
192,8093.4077,2025-05-09
193,8192.416,2025-05-10
194,8214.289,2025-05-11
195,8114.854,2025-05-12
196,8118.2227,2025-05-13
197,7999.165,2025-05-14
198,7984.4185,2025-05-15
199,8070.8125,2025-05-16
200,7966.3105,2025-05-17
201,8043.8965,2025-05-18
202,8000.112,2025-05-19
203,8097.117,2025-05-20
204,8181.028,2025-05-21
205,8141.55,2025-05-22
206,8193.013,2025-05-23
207,8088.1104,2025-05-24
208,7940.9204,2025-05-25
209,7750.4097,2025-05-26
210,7587.3423,2025-05-27
211,7512.2446,2025-05-28
212,7519.41,2025-05-29
213,7696.416,2025-05-30
214,7798.4985,2025-05-31
215,7721.867,2025-06-01
216,7676.2783,2025-06-02
217,7815.767,2025-06-03
218,7846.318,2025-06-04
219,7766.851,2025-06-05
220,7858.4985,2025-06-06
221,7897.2134,2025-06-07
222,7767.502,2025-06-08
223,7642.6934,2025-06-09
224,7590.5625,2025-06-10
225,7685.8345,2025-06-11
226,7806.46,2025-06-12
227,7871.933,2025-06-13
228,7777.617,2025-06-14
229,7737.635,2025-06-15
230,7754.332,2025-06-16
231,7666.823,2025-06-17
232,7734.583,2025-06-18
233,7619.4897,2025-06-19
234,7543.4507,2025-06-20
235,7699.683,2025-06-21
236,7852.356,2025-06-22
237,7973.654,2025-06-23
238,8002.703,2025-06-24
239,7895.4917,2025-06-25
240,7817.151,2025-06-26
241,7964.7793,2025-06-27
242,8068.4346,2025-06-28
243,8052.8374,2025-06-29
244,8140.2505,2025-06-30
245,8068.6787,2025-07-01
246,8052.0054,2025-07-02
